Player,Team,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-
Trent G.,TOR,19,2,1,43:08,6,13,-,-,3,8,4,4,-3
Herro T.,MIA,18,9,8,36:23,8,16,-,-,1,5,1,2,7
Adebayo B.,MIA,16,9,1,36:11,6,12,-,-,-,-,4,9,10
Lowry K.,MIA,16,6,10,34:33,4,8,-,-,2,4,6,7,8
Morris Mark.,MIA,10,3,4,25:34,4,10,-,-,2,6,-,-,5
Boucher C.,TOR,8,8,1,21:38,3,10,-,-,1,4,1,2,1
Yurtseven O. F.,MIA,6,2,1,11:49,3,4,-,-,-,-,-,-,-5
Martin Ca.,MIA,4,3,-,26:06,2,6,-,-,-,3,-,-,-11
Achiuwa P.,TOR,3,2,1,20:30,1,4,-,-,-,1,1,4,-2
Young T.,TOR,2,7,2,17:48,-,2,-,-,-,1,2,4,-6
Birch K.,TOR,-,2,-,13:11,-,2,-,-,-,1,-,-,3
Brooks A.,TOR,-,-,-,4:52,-,1,-,-,-,1,-,-,-2
Robinson D.,MIA,-,-,1,12:48,-,2,-,-,-,2,-,-,-4
